Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm)
1D3,CWSH,15.71,0.5,1.23
1D3,CWSH,15.72,0.5,1.203
1D3,FAUC,8.15,0.155,0.346
1D3,FAUC,8.15,0.62,0.418
1D3,FAUC,8.17,0.155,0.288
1D3,FAUC,8.17,0.465,0.442
1D3,FAUC,8.2,0.155,0.288
1D3,FAUC,8.44,0.31,0.691
1D3,FAUC,8.47,0.465,0.691
1D3,FAUC,8.53,0.155,1.094
1D3,FAUC,10.93,0.62,1.598
1D3,FAUC,10.94,0.62,1.426
1D3,FAUC,11.31,0.155,0.288
1D3,FAUC,11.33,0.31,0.288
1D3,FAUC,12.98,0.155,0.979
1D3,FAUC,12.98,0.31,1.296
1D3,FAUC,13,0.155,0.806
1D3,FAUC,13.07,0.155,0.288
1D3,FAUC,13.09,0.155,0.288
1D3,FAUC,13.1,0.155,0.461
1D3,FAUC,13.14,0.155,0.288
1D3,FAUC,13.18,0.155,0.288
1D3,FAUC,13.19,0.31,0.288
1D3,FAUC,13.2,0.155,0.288
1D3,FAUC,13.25,0.31,0.288
1D3,FAUC,14.23,0.62,1.368
1D3,FAUC,15.15,0.155,0.346
1D3,FAUC,15.17,0.155,0.576
1D3,FAUC,15.18,0.155,0.288
1D3,FAUC,15.21,0.155,0.288
1D3,FAUC,15.24,0.31,0.317
1D3,FAUC,15.68,0.155,0.403
1D3,FAUC,15.74,0.155,0.922
1D3,FAUC,15.79,0.31,0.49
1D3,FAUC,15.9,0.155,0.288
1D3,FAUC,19.1,0.31,1.296
1D3,FAUC,21.51,0.31,0.346
1D3,FAUC,21.55,0.155,0.288
1D3,FAUC,21.57,0.155,0.403
1D3,FAUC,21.59,0.155,0.518
1D3,FAUC,21.66,0.155,0.288
1D3,FAUC,21.67,0.155,0.288
1D4,FAUC,5.87,1.239,1.44
1D4,FAUC,6.17,0.31,0.173
1D4,FAUC,6.18,0.155,0.346
1D4,FAUC,7.16,0.31,1.181
1D4,FAUC,7.19,0.62,1.368
1D4,FAUC,7.28,0.155,0.403
1D4,FAUC,7.61,3.717,1.104
1D4,FAUC,8.38,0.465,1.056
1D4,FAUC,8.4,0.929,1.68
1D4,FAUC,8.52,0.155,0.346
1D4,FAUC,8.59,0.155,1.152
1D4,FAUC,17.56,0.465,0.634
1D4,FAUC,18.08,0.465,1.709
1D4,SHWR,6.94,3.098,1.644
1D5,CWSH,7.15,3.333,1.803
1D5,CWSH,7.58,0.333,0.928
1D5,CWSH,7.65,3,2.11
1D5,CWSH,10.21,3,2.076
1D5,CWSH,10.64,0.5,0.986
1D5,CWSH,10.71,3,1.976
1D5,FAUC,6.5,0.131,0.288
1D5,FAUC,6.67,1.441,0.869
1D5,FAUC,6.71,0.131,0.461
1D5,FAUC,7.82,0.262,0.346
1D5,FAUC,10.87,0.131,0.288
1D5,FAUC,10.87,1.834,0.819
1D5,FAUC,10.94,0.393,1.056
1D5,FAUC,10.95,0.131,0.288
1D5,FAUC,10.97,0.262,0.576
1D5,FAUC,10.98,0.917,0.79
1D5,FAUC,13.5,0.131,0.634
1D5,FAUC,14.01,1.441,0.932
1D5,FAUC,14.07,0.655,1.129
1D5,FAUC,14.09,0.524,1.598
1D5,FAUC,16.14,1.179,0.979
1D5,FAUC,18.47,0.262,0.806
1D5,FAUC,18.89,0.131,0.864
1D5,FAUC,18.92,0.262,0.634
1D5,FAUC,19.16,0.131,0.691
1D5,FAUC,20.54,0.393,0.845
1D5,FAUC,20.56,2.096,0.846
1D5,FAUC,20.6,1.048,1.195
1D5,FAUC,20.63,0.262,0.547
1D5,FAUC,20.65,0.393,1.094
1D5,FAUC,20.66,0.524,1.051
1D5,FAUC,20.76,0.786,1.094
1D5,FAUC,21.01,1.441,0.885
1D5,FAUC,23.13,2.751,1.075
1D5,FAUC,23.22,0.131,0.518
1D5,FAUC,23.59,0.131,1.21
1D6,FAUC,2.52,0.31,0.979
1D6,FAUC,2.53,0.155,1.037
1D6,FAUC,2.56,1.394,0.928
1D6,FAUC,7.78,0.62,1.051
1D6,FAUC,7.93,0.31,0.547
1D6,FAUC,8.01,0.31,0.835
1D6,FAUC,8.12,0.31,0.691
1D6,FAUC,8.14,1.859,0.816
1D6,FAUC,8.18,1.239,0.965
1D6,FAUC,8.26,0.31,0.893
1D6,FAUC,8.59,2.014,0.913
1D6,FAUC,8.63,0.31,0.518
1D6,FAUC,8.86,0.31,0.806
1D6,FAUC,9.34,1.394,1.05
1D6,FAUC,10.7,0.465,0.787
1D6,FAUC,10.72,1.239,0.806
1D6,SHWR,9.39,11.772,1.492
1D7,CWSH,9.63,2.333,2.575
1D7,CWSH,9.93,0.667,1.242
1D7,CWSH,10,3.5,1.661
1D7,FAUC,2.63,0.285,0.979
1D7,FAUC,8.04,1.281,1.139
1D7,FAUC,9.25,0.285,0.547
1D7,FAUC,9.27,0.285,0.634
1D7,FAUC,9.6,0.142,0.691
1D7,FAUC,10.43,0.569,1.31
1D7,FAUC,10.86,0.712,0.991
1D7,FAUC,12.66,0.285,0.432
1D7,FAUC,12.72,0.142,0.864
1D7,FAUC,12.89,0.427,0.538
1D7,FAUC,12.99,0.569,1.685
1D7,FAUC,13.17,0.427,0.998
1D7,FAUC,14.88,1.708,1.325
1D7,FAUC,14.91,0.427,1.766
1D7,FAUC,15.11,0.427,1.229
1D7,FAUC,15.24,0.427,0.998
1D7,FAUC,15.47,0.427,0.998
1D7,FAUC,15.51,0.142,0.518
1D7,FAUC,18,0.997,1.539
1D7,FAUC,18.38,4.271,1.467
1D7,FAUC,22.28,0.712,1.302
1D7,FAUC,22.42,0.427,1.421
1D7,SHWR,9.05,6.264,2
1D8,FAUC,7.34,0.167,0.922
1D8,FAUC,7.35,0.167,0.346
1D8,FAUC,7.42,2.333,1.09
1D8,FAUC,8,1.167,0.749
1D8,FAUC,8.03,0.833,0.53
1D8,FAUC,8.19,0.167,0.346
1D8,FAUC,15.19,1,0.778
1D8,FAUC,15.21,3.333,2.569
1D8,FAUC,15.27,1.667,2.218
1D8,FAUC,15.3,2.5,2.93
1D8,FAUC,15.46,0.167,0.922
1D8,FAUC,16.06,0.667,1.454
1D8,FAUC,17.38,0.167,0.634
1D8,FAUC,17.74,0.167,1.267
1D8,FAUC,17.76,0.167,0.461
1D8,FAUC,20.61,0.833,0.714
1D8,SHWR,7.75,12.5,1.787
1D9,DWSH,1.3,1.667,1.145
1D9,DWSH,1.87,1.5,1.014
1D9,DWSH,2.1,1.333,1.179
1D9,FAUC,2.09,0.131,0.403
1D9,FAUC,6.75,0.131,0.288
1D9,FAUC,6.76,0.393,1.44
1D9,FAUC,6.77,0.524,1.426
1D9,FAUC,7.02,0.786,1.018
1D9,FAUC,7.22,0.262,1.987
1D9,FAUC,7.23,0.655,1.452
1D9,FAUC,7.51,0.393,1.037
1D9,FAUC,9.37,0.917,1.16
1D9,FAUC,9.38,0.131,2.304
1D9,FAUC,9.8,0.262,1.094
1D9,FAUC,9.82,0.524,1.44
1D9,FAUC,10.19,0.131,0.288
1D9,FAUC,10.78,0.131,0.922
1D9,FAUC,10.81,0.131,0.576
1D9,FAUC,11.27,0.655,1.279
1D9,FAUC,12.5,0.131,0.806
1D9,FAUC,12.68,0.655,1.152
1D9,FAUC,12.73,0.131,0.288
1D9,FAUC,12.75,0.262,0.605
1D9,FAUC,12.99,0.131,1.325
1D9,FAUC,13.25,0.786,1.037
1D9,FAUC,13.26,0.393,1.133
1D9,FAUC,14.26,1.441,1.602
1D9,FAUC,14.3,0.393,0.672
1D9,FAUC,14.46,0.131,0.403
1D9,FAUC,14.5,0.131,0.288
1D9,FAUC,14.75,0.131,1.094
1D9,FAUC,14.77,0.786,1.613
1D9,FAUC,14.8,0.131,0.288
1D9,FAUC,14.8,0.131,0.288
1D9,FAUC,15.07,0.131,2.131
1D9,FAUC,16.47,0.262,0.893
1D9,FAUC,17.29,0.131,0.518
1D9,FAUC,17.39,0.262,0.835
1D9,FAUC,17.43,0.131,0.806
1D9,FAUC,17.44,0.131,0.922
1D9,FAUC,17.44,0.393,1.229
1D9,FAUC,17.61,0.262,0.49
1D9,FAUC,17.99,0.524,1.123
1D9,FAUC,18.04,0.131,0.979
1D9,FAUC,18.17,0.131,0.518
1D9,FAUC,18.31,0.262,1.037
1D9,FAUC,18.32,0.131,0.576
1D9,FAUC,18.33,1.834,1.469
1D9,FAUC,18.39,0.262,0.893
1D9,FAUC,18.4,0.524,1.397
1D9,FAUC,18.59,0.131,0.518
1D9,FAUC,18.6,0.131,0.288
1D9,FAUC,18.89,0.262,1.094
1D9,FAUC,20.29,0.524,1.397
1D9,FAUC,20.3,0.524,1.253
1D9,FAUC,21.29,0.131,0.518
1D9,FAUC,21.87,0.655,1.198
1D9,FAUC,21.89,0.131,0.403
1D9,FAUC,21.9,0.262,0.691
1D9,FAUC,21.97,0.131,0.288
1D9,FAUC,22.3,0.393,0.941
1D9,FAUC,22.32,0.131,0.288
1D9,SHWR,22.09,8.909,2
1E0,FAUC,18.52,0.465,0.73
1E1,DWSH,10.48,1.667,1.034
1E1,DWSH,11.06,1.667,0.994
1E1,DWSH,11.29,1.5,1.08
1E1,FAUC,9.28,5.895,1.17
1E1,FAUC,9.43,0.393,0.902
1E1,FAUC,9.58,0.131,0.288
1E1,FAUC,9.67,1.703,1.48
1E1,FAUC,9.78,0.524,1.181
1E1,FAUC,10.09,0.262,0.691
1E1,FAUC,10.35,0.524,1.426
1E1,FAUC,10.55,0.262,1.382
1E1,FAUC,10.84,0.393,0.902
1E1,FAUC,13.16,0.131,1.786
1E1,FAUC,13.37,0.131,0.288
1E1,FAUC,13.37,3.93,1.388
1E1,FAUC,13.47,0.786,0.864
1E1,FAUC,13.49,1.834,1.148
1E1,FAUC,13.99,0.917,1.144
1E1,FAUC,14,0.131,1.267
1E1,FAUC,15,0.131,0.288
1E1,FAUC,15.54,0.131,0.288
1E1,FAUC,15.55,0.262,0.547
1E1,FAUC,16.32,0.393,0.941
1E1,FAUC,16.37,0.131,1.382
1E1,FAUC,16.41,0.393,0.96
1E1,FAUC,17.4,0.262,0.95
1E1,FAUC,18.42,0.131,0.288
1E1,FAUC,18.45,0.131,0.288
1E1,FAUC,18.48,0.131,1.267
1E1,FAUC,18.56,0.131,0.691
1E1,FAUC,18.57,0.262,0.346
1E1,FAUC,19.05,0.524,1.152
1E1,FAUC,19.09,0.262,1.411
1E1,FAUC,20.57,0.131,0.576
1E1,FAUC,20.58,0.131,0.576
1E1,FAUC,21.74,0.131,0.518
1E1,FAUC,21.77,0.393,0.998
1E1,SHWR,8.79,16.245,2
1E1,SHWR,21.79,5.502,1.611
1E2,FAUC,5.68,0.131,0.576
1E2,FAUC,5.7,0.262,0.979
1E2,FAUC,13.2,0.393,0.806
1E2,FAUC,14.94,1.31,1.302
1E2,FAUC,15.21,0.655,2.915
1E2,FAUC,15.33,0.131,0.749
1E2,FAUC,16.6,1.441,1.293
1E2,FAUC,16.75,0.131,0.864
1E2,FAUC,16.75,0.393,1.382
1E2,FAUC,18.36,0.917,1.094
1E2,FAUC,18.42,0.262,0.922
1E2,FAUC,18.69,0.393,1.286
1E2,FAUC,18.75,0.393,2.515
1E3,CWSH,9.21,5,1.599
1E3,CWSH,9.35,1.5,1.368
1E3,CWSH,9.45,1.833,1.421
1E3,DWSH,2.23,1.667,0.922
1E3,DWSH,2.4,1.5,0.95
1E3,DWSH,3.39,0.667,0.768
1E3,DWSH,3.42,1.667,0.916
1E3,FAUC,0.83,0.131,0.518
1E3,FAUC,0.83,0.131,0.518
1E3,FAUC,0.93,0.131,0.403
1E3,FAUC,2.73,0.131,0.691
1E3,FAUC,7.3,0.131,0.461
1E3,FAUC,8.08,0.131,0.403
1E3,FAUC,8.73,0.131,0.518
1E3,FAUC,8.83,0.262,0.432
1E3,FAUC,9.77,0.393,0.941
1E3,FAUC,10.1,0.262,0.806
1E3,FAUC,10.47,0.131,1.094
1E3,FAUC,13.26,0.131,0.518
1E3,FAUC,13.82,0.131,0.518
1E3,FAUC,15.86,0.262,0.979
1E3,FAUC,15.87,0.131,1.267
1E3,FAUC,15.99,0.131,0.518
1E3,FAUC,18.23,0.524,0.36
1E3,FAUC,20.2,0.262,0.432
1E3,FAUC,20.26,0.393,0.595
1E3,FAUC,20.28,0.131,0.518
1E3,FAUC,20.29,0.262,0.432
1E3,FAUC,20.31,0.262,0.432
1E3,FAUC,20.36,0.393,0.48
1E3,FAUC,20.37,0.131,0.518
1E3,FAUC,20.43,0.524,0.677
1E3,FAUC,20.71,0.131,1.44
1E3,FAUC,20.74,0.262,0.49
1E3,FAUC,20.94,0.262,0.432
1E3,FAUC,22,0.262,0.432
1E3,FAUC,23.73,0.131,0.518
1E3,FAUC,23.85,0.131,0.518
1E4,FAUC,7.53,0.155,0.288
1E4,FAUC,7.96,0.774,1.244
1E4,FAUC,7.98,0.155,0.979
1E4,FAUC,9.24,0.155,0.576
1E4,FAUC,9.47,0.155,0.979
1E4,FAUC,9.72,0.155,1.094
1E4,FAUC,11.07,0.774,1.682
1E4,FAUC,11.1,0.155,0.288
1E4,FAUC,11.1,0.155,1.152
1E4,FAUC,11.11,0.31,1.094
1E4,FAUC,11.12,0.155,0.864
1E4,FAUC,11.18,1.859,1.118
1E4,FAUC,11.32,0.465,1.267
1E4,FAUC,11.33,0.155,1.094
1E4,FAUC,11.82,2.478,0.979
1E4,FAUC,11.97,1.394,1.318
1E4,FAUC,13.25,0.465,1.152
1E4,FAUC,14.25,0.31,0.864
1E4,FAUC,14.5,0.155,0.288
1E4,FAUC,14.5,0.155,1.67
1E4,FAUC,14.6,0.155,1.267
1E4,FAUC,14.68,0.31,0.778
1E4,FAUC,15.47,0.31,0.95
1E4,FAUC,15.48,0.155,1.267
1E4,FAUC,15.48,0.155,0.403
1E4,FAUC,15.5,0.155,0.461
1E4,FAUC,15.5,0.155,0.461
1E4,FAUC,15.82,0.31,1.066
1E4,FAUC,15.83,0.155,0.576
1E4,FAUC,16.15,0.31,0.835
1E4,FAUC,19.84,0.31,0.576
1E4,FAUC,19.95,0.929,1.258
1E4,FAUC,20,0.155,0.403
1E4,FAUC,20.03,0.155,0.576
1E4,FAUC,20.03,0.62,0.85
1E4,FAUC,20.12,0.465,1.094
1E4,FAUC,20.68,1.239,1.433
1E4,FAUC,20.72,2.169,1.773
1E5,FAUC,8.18,1.139,1.57
1E5,FAUC,8.3,0.285,0.806
1E5,FAUC,8.31,0.569,1.066
1E5,FAUC,9.58,0.142,1.613
1E5,FAUC,9.77,0.427,1.229
1E5,FAUC,9.88,0.427,1.229
1E5,FAUC,9.94,0.142,0.691
1E5,FAUC,9.95,0.285,0.432
1E5,FAUC,9.96,0.142,0.518
1E5,FAUC,9.97,0.142,0.691
1E5,FAUC,9.98,0.142,1.094
1E5,FAUC,12.46,0.285,0.806
1E5,FAUC,12.55,0.285,0.979
1E5,FAUC,14.6,0.285,0.432
1E5,FAUC,14.82,0.427,0.883
1E5,FAUC,15.72,0.142,1.786
1E5,FAUC,18.21,0.569,0.792
1E5,FAUC,18.22,0.285,0.547
1E5,FAUC,18.3,2.136,1.252
1E5,SHWR,18.01,7.119,2
1E6,CWSH,17.09,3.167,3.995
1E6,CWSH,18.97,3.333,3.258
1E6,CWSH,19.12,0.5,1.88
1E6,CWSH,19.13,0.5,1.702
1E6,FAUC,6.57,0.285,0.202
1E6,FAUC,8.42,0.569,0.086
1E6,FAUC,11.56,0.997,1.374
1E6,FAUC,11.62,0.142,0.518
1E6,FAUC,12.04,0.427,1.171
1E6,FAUC,12.56,0.569,0.893
1E6,FAUC,12.61,0.142,0.403
1E6,FAUC,12.64,0.142,0.691
1E6,FAUC,12.71,0.427,1.056
1E6,FAUC,13.29,0.285,0.403
1E6,FAUC,14.41,0.142,0.518
1E6,FAUC,14.42,1.993,0.889
1E6,FAUC,14.47,0.569,0.806
1E6,FAUC,14.49,1.851,0.913
1E6,FAUC,14.54,0.142,0.403
1E6,FAUC,14.58,0.285,0.835
1E6,FAUC,14.6,0.854,0.835
1E6,FAUC,14.62,0.142,0.806
1E6,FAUC,14.63,1.851,0.895
1E6,FAUC,14.67,0.285,0.518
1E6,FAUC,14.69,0.142,0.806
1E6,FAUC,14.7,0.569,0.965
1E6,FAUC,14.71,0.142,0.288
1E6,FAUC,14.73,0.569,0.85
1E6,FAUC,14.98,0.427,0.826
1E6,FAUC,15.01,1.851,0.842
1E6,FAUC,15.52,0.285,0.461
1E6,FAUC,15.57,0.285,0.576
1E6,FAUC,15.6,0.285,0.979
1E6,FAUC,15.79,0.142,0.864
1E6,FAUC,16.22,0.142,0.403
1E6,FAUC,16.28,3.702,0.027
1E6,FAUC,16.35,0.142,0.346
1E6,FAUC,16.46,0.569,0.677
1E6,FAUC,16.47,0.285,0.922
1E6,FAUC,17.07,0.142,1.21
1E6,FAUC,18.23,0.285,0.461
1E6,FAUC,18.45,0.569,0.95
1E6,FAUC,18.49,0.285,0.72
1E6,FAUC,18.5,0.142,0.288
1E6,FAUC,18.51,0.285,0.922
1E6,FAUC,18.73,0.427,1.114
1E6,FAUC,18.75,0.142,0.288
1E6,FAUC,18.76,0.712,0.945
1E6,FAUC,18.9,0.569,0.965
1E6,FAUC,19.99,0.142,0.922
1E6,FAUC,20.24,0.285,1.21
1E6,FAUC,20.26,0.285,0.576
1E6,FAUC,20.41,1.281,1.171
1E6,FAUC,20.44,0.142,0.288
1E6,FAUC,20.44,3.702,0.055
1E6,FAUC,20.57,0.427,0.768
1E6,FAUC,20.75,0.854,0.864
1E6,FAUC,20.77,0.142,0.288
1E6,FAUC,20.77,0.997,0.782
1E6,FAUC,21.33,0.142,0.749
1E6,FAUC,21.57,0.142,0.691
1E6,FAUC,22.53,0.569,0.173
1E6,FAUC,22.55,0.142,0.749
1E6,FAUC,22.56,0.427,0.672
1E6,FAUC,22.58,0.285,1.21
1E6,FAUC,22.59,0.285,0.576
1E6,FAUC,22.61,0.569,1.08
1E6,FAUC,22.62,0.569,0.086
1E6,FAUC,22.97,0.427,0.614
1E6,FAUC,23.01,0.142,0.288
1E7,CWSH,10.94,1.667,4.943
1E7,CWSH,11.02,0.5,1.68
1E7,CWSH,11.06,1,3.571
1E7,CWSH,21.1,1.5,3.674
1E7,CWSH,21.17,0.5,1.396
1E7,CWSH,21.23,2.333,2.586
1E7,CWSH,21.3,0.333,1.221
1E7,FAUC,9.17,0.902,1.363
1E7,FAUC,9.33,0.451,1.152
1E7,FAUC,9.75,0.301,0.576
1E7,FAUC,10.16,0.301,0.317
1E7,FAUC,10.94,0.15,0.288
1E7,FAUC,10.97,0.301,0.634
1E7,FAUC,11.73,0.601,0.562
1E7,FAUC,12.91,0.15,1.67
1E7,FAUC,13.04,0.601,1.21
1E7,FAUC,13.24,0.301,0.49
1E7,FAUC,13.26,0.301,0.317
1E7,FAUC,13.29,0.15,0.806
1E7,FAUC,13.29,0.751,0.265
1E7,FAUC,13.3,0.601,0.821
1E7,FAUC,13.32,1.653,0.895
1E7,FAUC,13.37,0.601,0.936
1E7,FAUC,13.4,0.301,0.634
1E7,FAUC,17.57,1.202,0.504
1E7,FAUC,17.68,0.15,0.634
1E7,FAUC,18.56,0.301,0.749
1E7,FAUC,18.57,0.301,0.547
1E7,FAUC,18.58,0.451,1.421
1E7,FAUC,19.02,0.301,1.469
1E7,FAUC,19.05,0.902,1.2
1E7,SHWR,11.11,7.514,1.526
1E8,FAUC,6.42,0.262,0.691
1E8,FAUC,8.2,0.393,1.075
1E8,FAUC,8.22,0.655,1.037
1E8,FAUC,8.25,0.262,0.979
1E8,FAUC,8.38,0.655,1.129
1E8,FAUC,8.46,0.393,0.902
1E8,FAUC,8.55,0.393,0.538
1E8,FAUC,8.64,0.393,0.614
1E8,FAUC,8.66,0.131,1.21
1E8,FAUC,8.67,0.262,0.461
1E8,FAUC,8.68,0.262,0.461
1E8,FAUC,8.92,0.524,0.634
1E8,FAUC,8.93,0.262,1.123
1E8,FAUC,8.97,0.393,0.806
1E8,FAUC,9.04,0.262,0.778
1E8,FAUC,9.05,0.524,1.037
1E8,FAUC,9.08,0.262,0.778
1E8,FAUC,9.09,0.393,0.73
1E8,FAUC,9.15,4.323,1.164
1E8,FAUC,9.67,0.262,0.95
1E8,FAUC,9.86,0.262,1.584
1E8,FAUC,9.99,0.262,2.102
1E8,FAUC,10.05,0.262,0.778
1E8,FAUC,10.13,0.262,0.835
1E8,FAUC,10.68,0.262,0.346
1E8,FAUC,10.76,0.262,0.49
1E8,FAUC,10.84,1.048,0.857
1E8,FAUC,10.89,0.524,0.878
1E8,FAUC,10.91,0.131,0.979
1E8,FAUC,10.91,1.048,2.491
1E8,FAUC,11,0.393,4.627
1E8,FAUC,11,0.786,1.699
1E8,FAUC,11.03,0.917,1.761
1E8,FAUC,11.06,0.131,2.765
1E8,FAUC,11.25,0.262,0.806
1E8,FAUC,11.27,0.393,1.018
1E8,FAUC,11.29,0.262,0.72
1E8,FAUC,11.4,0.131,0.691
1E8,FAUC,11.52,0.917,1.029
1E8,FAUC,11.7,0.131,0.691
1E8,FAUC,12.14,0.131,0.749
1E8,FAUC,12.17,0.131,0.518
1E8,FAUC,12.17,0.262,0.547
1E8,FAUC,12.49,1.965,1.152
1E8,FAUC,13.07,0.262,0.576
1E8,FAUC,13.14,0.262,0.662
1E8,FAUC,13.18,0.655,0.991
1E8,FAUC,15.67,0.524,1.037
1E8,FAUC,15.75,0.262,0.634
1E8,FAUC,17.66,0.131,0.403
1E8,FAUC,19.48,0.393,0.902
1E8,FAUC,19.49,0.262,0.605
1E8,FAUC,19.51,1.048,0.835
1E8,FAUC,19.95,1.048,1.051
1E8,FAUC,19.99,0.131,0.518
1E8,FAUC,20.01,0.131,0.806
1E8,FAUC,20.02,3.406,1.17
1E8,FAUC,20.1,0.655,1.129
1E8,FAUC,21.18,0.393,0.787
1E8,FAUC,22.57,0.262,0.461
1E8,SHWR,13.22,8.909,2
1E9,CWSH,6.67,4.333,1.271
1E9,CWSH,6.95,2,0.859
1E9,CWSH,7.06,4.5,1.206
1E9,CWSH,7.91,3.5,1.599
1E9,CWSH,8.25,1.667,1.05
1E9,CWSH,8.3,4.5,1.179
1E9,FAUC,5.11,4.585,0.974
1E9,FAUC,6.79,0.131,0.864
1E9,FAUC,6.91,0.262,0.662
1E9,FAUC,7.01,0.524,1.08
1E9,FAUC,7.07,0.524,0.648
1E9,FAUC,7.1,0.393,0.691
1E9,FAUC,7.15,0.786,1.44
1E9,FAUC,7.28,0.131,1.267
1E9,FAUC,8.18,0.131,1.728
1E9,FAUC,8.2,0.262,1.296
1E9,FAUC,8.22,0.131,1.267
1E9,FAUC,8.27,0.393,2.842
1E9,FAUC,8.59,0.786,1.152
1E9,FAUC,8.61,0.786,1.363
1E9,FAUC,8.64,0.655,1.117
1E9,FAUC,8.66,0.262,1.296
1E9,FAUC,8.95,0.131,0.864
1E9,FAUC,9.76,0.524,1.944
1E9,FAUC,10.27,0.262,0.432
1E9,FAUC,10.5,0.262,2.362
1E9,FAUC,10.54,0.262,1.354
1E9,FAUC,10.6,0.262,1.526
1E9,FAUC,10.65,0.262,0.662
1E9,FAUC,10.71,0.262,0.662
1E9,FAUC,10.8,0.131,0.461
1E9,FAUC,10.85,0.262,2.189
1E9,FAUC,10.86,0.262,0.864
1E9,FAUC,10.88,0.262,1.094
1E9,FAUC,10.96,0.393,1.152
1E9,FAUC,11.01,0.262,0.864
1E9,FAUC,11.09,0.131,1.267
1E9,FAUC,11.11,0.393,1.44
1E9,FAUC,11.14,0.131,1.267
1E9,FAUC,11.34,0.262,0.432
1E9,FAUC,11.51,0.262,1.094
1E9,FAUC,11.54,0.131,1.267
1E9,FAUC,11.56,0.393,1.44
1E9,FAUC,11.63,0.262,0.922
1E9,FAUC,11.64,0.131,1.728
1E9,FAUC,11.94,0.786,1.008
1E9,FAUC,12.88,0.262,0.662
1E9,FAUC,13.1,0.262,0.662
1E9,FAUC,14.37,0.262,1.411
1E9,FAUC,14.4,0.524,1.843
1E9,FAUC,14.42,0.131,2.131
1E9,FAUC,14.44,0.262,0.864
1E9,FAUC,14.45,0.262,1.728
1E9,FAUC,14.48,0.524,1.613
1E9,FAUC,14.5,0.655,3.352
1E9,FAUC,14.59,0.131,0.864
1E9,FAUC,14.61,0.262,0.432
1E9,FAUC,14.69,0.524,2.059
1E9,FAUC,14.8,0.393,0.998
1E9,FAUC,14.9,0.131,0.864
