Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
1D6,2.0,0.31,FAUC,0.835,32.01,8.009999999999998,32.015166666666666,1.0
1D6,2.0,0.31,FAUC,0.691,32.12,8.119999999999997,32.125166666666665,1.0
1D6,2.0,1.859,FAUC,0.816,32.14,8.14,32.17098333333333,1.0
1D6,2.0,1.239,FAUC,0.965,32.18,8.18,32.20065,1.0
1D6,2.0,0.31,FAUC,0.893,32.26,8.259999999999998,32.265166666666666,1.0
1D6,2.0,2.0140000000000002,FAUC,0.9129999999999999,32.59,8.590000000000003,32.62356666666667,1.0
1D6,2.0,0.31,FAUC,0.518,32.63,8.630000000000003,32.63516666666667,1.0
1D6,2.0,0.31,FAUC,0.8059999999999999,32.86,8.86,32.86516666666667,1.0
1D6,2.0,1.3940000000000001,FAUC,1.05,33.34,9.340000000000003,33.36323333333333,1.0
1D9,2.0,0.600000000000307,FAUC,1.16,33.37,9.369999999999997,33.38,3.0
1D9,2.0,0.131,FAUC & FAUC,3.4640000000000004,33.38,9.380000000000003,33.38218333333334,3.0
1D9,2.0,0.18599999999977967,FAUC,1.16,33.38218333333334,9.382183333333337,33.385283333333334,3.0
1D6,2.0,11.772,SHWR,1.492,33.39,9.39,33.5862,1.0
1D9,2.0,0.262,FAUC,1.094,33.8,9.799999999999997,33.80436666666667,1.0
1D9,2.0,0.524,FAUC,1.44,33.82,9.82,33.82873333333333,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,34.19,10.189999999999998,34.19218333333333,1.0
1D6,2.0,0.465,FAUC,0.787,34.7,10.700000000000003,34.707750000000004,1.0
1D6,2.0,1.239,FAUC,0.8059999999999999,34.72,10.719999999999999,34.74065,1.0
1D9,2.0,0.131,FAUC,0.922,34.78,10.780000000000001,34.782183333333336,1.0
1D9,2.0,0.131,FAUC,0.5760000000000001,34.81,10.810000000000002,34.81218333333334,1.0
1D9,2.0,0.655,FAUC,1.2790000000000001,35.269999999999996,11.269999999999996,35.28091666666666,1.0
1D9,2.0,0.131,FAUC,0.8059999999999999,36.5,12.5,36.502183333333335,1.0
1D9,2.0,0.655,FAUC,1.1520000000000001,36.68,12.68,36.690916666666666,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,36.730000000000004,12.730000000000004,36.73218333333334,1.0
1D9,2.0,0.262,FAUC,0.605,36.75,12.75,36.75436666666667,1.0
1D9,2.0,0.131,FAUC,1.325,36.99,12.990000000000002,36.99218333333334,1.0
1D9,2.0,0.5999999999998806,FAUC,1.037,37.25,13.25,37.26,4.0
1D9,2.0,0.186000000000206,FAUC,2.17,37.26,13.259999999999998,37.2631,4.0
1D9,2.0,0.20699999999962415,FAUC,1.133,37.2631,13.263100000000001,37.266549999999995,4.0
1D9,2.0,1.4409999999999998,FAUC,1.6019999999999999,38.26,14.259999999999998,38.284016666666666,1.0
1D9,2.0,0.39299999999999996,FAUC,0.672,38.3,14.299999999999997,38.306549999999994,1.0
1D9,2.0,0.131,FAUC,0.40299999999999997,38.46,14.46,38.462183333333336,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,38.5,14.5,38.502183333333335,1.0
1D9,2.0,0.131,FAUC,1.094,38.75,14.75,38.752183333333335,1.0
1D9,2.0,0.7859999999999999,FAUC,1.6130000000000002,38.769999999999996,14.769999999999996,38.7831,1.0
1D9,2.0,0.131,FAUC,0.5760000000000001,38.8,14.799999999999997,38.80218333333333,2.0
1D9,2.0,0.131,FAUC,2.131,39.07,15.07,39.072183333333335,1.0
1D9,2.0,0.262,FAUC,0.893,40.47,16.47,40.47436666666667,1.0
1D9,2.0,0.131,FAUC,0.518,41.29,17.29,41.292183333333334,1.0
1D9,2.0,0.262,FAUC,0.835,41.39,17.39,41.39436666666667,1.0
1D9,2.0,0.131,FAUC,0.8059999999999999,41.43,17.43,41.432183333333334,1.0
1D9,2.0,0.131,FAUC,2.1510000000000002,41.44,17.439999999999998,41.44218333333333,2.0
1D9,2.0,0.262,FAUC,0.49,41.61,17.61,41.61436666666667,1.0
1D9,2.0,0.524,FAUC,1.123,41.989999999999995,17.989999999999995,41.99873333333333,1.0
1D9,2.0,0.131,FAUC,0.9790000000000001,42.04,18.04,42.042183333333334,1.0
1D9,2.0,0.131,FAUC,0.518,42.17,18.17,42.17218333333334,1.0
1D9,2.0,0.262,FAUC,1.037,42.31,18.310000000000002,42.31436666666667,1.0
1D9,2.0,0.131,FAUC,0.5760000000000001,42.32,18.32,42.322183333333335,1.0
1D9,2.0,1.834,FAUC,1.469,42.33,18.33,42.360566666666664,1.0
1D9,2.0,0.262,FAUC,0.893,42.39,18.39,42.39436666666667,1.0
1D9,2.0,0.524,FAUC,1.3969999999999998,42.4,18.4,42.40873333333333,1.0
1D9,2.0,0.131,FAUC,0.518,42.59,18.590000000000003,42.59218333333334,1.0
