Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr)
1E9,3.0,0.262,FAUC,0.8640000000000001,62.44,14.44
1E9,3.0,0.262,FAUC,1.7280000000000002,62.45,14.45
1E9,3.0,0.524,FAUC,1.6130000000000002,62.480000000000004,14.48
1E9,3.0,0.655,FAUC,3.352,62.5,14.5
1E9,3.0,0.131,FAUC,0.8640000000000001,62.59,14.59
1E9,3.0,0.262,FAUC,0.43200000000000005,62.61,14.61
1E9,3.0,0.524,FAUC,2.059,62.69,14.69
1E9,3.0,0.39299999999999996,FAUC,0.998,62.8,14.8
1E9,3.0,0.131,FAUC,0.8640000000000001,62.9,14.9
1E9,3.0,0.131,FAUC,1.2670000000000001,62.92,14.92
1E9,3.0,6.287999999999999,SHWR,2.0,64.02,16.02
1E9,3.0,1.179,FAUC,1.8619999999999999,65.51,17.51
1E9,3.0,0.262,FAUC,0.8640000000000001,65.53999999999999,17.54
1E9,3.0,0.262,FAUC,0.8640000000000001,67.41,19.41
1E9,3.0,1.4409999999999998,FAUC,1.136,67.6,19.6
1E9,3.0,1.31,FAUC,1.423,69.1,21.1
1E9,3.0,1.048,FAUC,0.54,69.14,21.14
1E9,3.0,0.39299999999999996,FAUC,0.73,69.19,21.19
1E9,3.0,0.39299999999999996,FAUC,1.44,69.22,21.22
1E9,3.0,0.131,FAUC,0.8640000000000001,69.28999999999999,21.29
1E9,3.0,0.524,FAUC,1.08,69.32,21.32
1E9,3.0,0.262,FAUC,0.8640000000000001,69.77,21.77
2E4,4.0,0.49700000000000005,FAUC,0.634,72.02,0.02
2E4,4.0,0.49700000000000005,FAUC,0.8640000000000001,72.15,0.15
2E4,4.0,0.49700000000000005,FAUC,0.72,72.18,0.18
2E4,4.0,0.373,FAUC,0.34600000000000003,79.44,7.44
2E4,4.0,0.373,FAUC,0.768,81.65,9.65
2E4,4.0,0.49700000000000005,FAUC,0.878,81.67,9.67
2E4,4.0,4.476,SHWR,1.975,81.68,9.68
2E4,4.0,1.492,FAUC,0.9790000000000001,81.71000000000001,9.71
2E4,4.0,1.119,FAUC,0.5820000000000001,81.75,9.75
2E4,4.0,0.995,FAUC,0.85,81.81,9.81
2E4,4.0,0.49700000000000005,FAUC,0.7340000000000001,81.86,9.86
2E4,4.0,0.995,FAUC,0.8059999999999999,81.87,9.87
2E4,4.0,1.119,FAUC,0.909,81.9,9.9
2E4,4.0,1.865,FAUC,1.1059999999999999,82.03999999999999,10.04
2E4,4.0,0.249,FAUC,0.835,83.47,11.47
2E4,4.0,0.833,DWSH,0.478,83.75,11.75
2E4,4.0,1.6669999999999998,DWSH,0.597,83.77,11.77
2E4,4.0,2.86,SHWR,2.0,83.81,11.81
2E4,4.0,1.6669999999999998,DWSH,0.569,83.88,11.88
2E4,4.0,0.622,FAUC,0.484,83.94,11.94
2E4,4.0,1.6669999999999998,DWSH,0.5589999999999999,84.46000000000001,12.46
2E4,4.0,1.5,DWSH,0.578,84.53999999999999,12.54
2E4,4.0,1.5,DWSH,0.574,84.62,12.62
2E4,4.0,1.119,FAUC,0.922,92.07,20.07
2E4,4.0,0.373,FAUC,0.8640000000000001,92.13,20.13
2E4,4.0,0.249,FAUC,0.5760000000000001,92.14,20.14
2E4,4.0,0.373,FAUC,0.71,92.16,20.16
2E4,4.0,1.7409999999999999,FAUC,0.909,94.95,22.95
2E4,4.0,0.373,FAUC,0.5379999999999999,95.01,23.01
2E4,4.0,1.368,FAUC,1.5290000000000001,95.07,23.07
2E4,4.0,0.49700000000000005,FAUC,1.642,95.08,23.08
2E4,4.0,0.249,FAUC,0.662,95.15,23.15
1D3,5.0,0.62,FAUC,0.418,104.15,8.15
1D3,5.0,0.155,FAUC,0.34600000000000003,104.15,8.15
1D3,5.0,0.465,FAUC,0.442,104.17,8.17
1D3,5.0,0.155,FAUC,0.28800000000000003,104.17,8.17
1D3,5.0,0.155,FAUC,0.28800000000000003,104.2,8.2
1D3,5.0,0.31,FAUC,0.691,104.44,8.44
1D3,5.0,0.465,FAUC,0.691,104.47,8.47
1D3,5.0,0.155,FAUC,1.094,104.53,8.53
1D3,5.0,0.62,FAUC,1.598,106.93,10.93
1D3,5.0,0.62,FAUC,1.426,106.94,10.94
1D3,5.0,0.155,FAUC,0.28800000000000003,107.31,11.31
1D3,5.0,0.31,FAUC,0.28800000000000003,107.33,11.33
1D3,5.0,0.155,FAUC,0.9790000000000001,108.98,12.98
1D3,5.0,0.31,FAUC,1.296,108.98,12.98
