,Hot Water Draw Volume (L),Mains Temperature (deg C),Outdoor Temperature (deg C),Timestep (min)
2022-01-03 23:00:00,1.0911395851398473,11.85472222222222,2.8999999999999995,60.0
2022-01-04 00:00:00,0.0,11.799999999999997,1.9000000000000008,60.0
2022-01-04 00:00:00,0.0,11.799999999999997,1.9000000000000008,60.0
2022-01-04 01:00:00,0.0,11.799999999999997,0.9999999999999984,60.0
2022-01-04 02:00:00,0.0,11.799999999999997,0.9999999999999984,60.0
2022-01-04 03:00:00,0.0,11.799999999999997,0.8999999999999986,60.0
2022-01-04 04:00:00,0.0,11.799999999999997,0.09999999999999984,60.0
2022-01-04 05:00:00,0.24192088517259433,11.799999999999997,0.9999999999999984,60.0
2022-01-04 06:00:00,0.0,11.799999999999997,0.7999999999999987,60.0
2022-01-04 07:00:00,1.6305550928047108,11.799999999999997,-0.8000000000000007,60.0
2022-01-04 08:00:00,0.5189593181928233,11.799999999999997,0.19999999999999968,60.0
