Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm),Volume (gal),,,Weekday,Weekend,Holiday,All
1D1,FAUC,14.81,0.155,0.806,0.12493,,,,,,
1D1,FAUC,14.92,0.155,1.037,0.160735,,,,,,
1D1,FAUC,15.17,1.549,0.611,0.946439,,,,,,
1D1,FAUC,15.3,0.774,1.233,0.954342,,,,,,
1D1,FAUC,15.32,1.084,0.987,1.069908,,,,,,
1D1,FAUC,16.68,0.155,1.44,0.2232,,,,,,
1D1,FAUC,16.68,0.465,1.114,0.51801,,,,,,
1D1,FAUC,16.76,1.394,1.011,1.409334,,,,,,
1D1,FAUC,17.13,0.155,1.037,0.160735,,,,,,
1D1,FAUC,17.17,0.31,0.749,0.23219,,,,,,
1D1,FAUC,17.2,1.239,1.433,1.775487,,,,,,
1D1,FAUC,17.4,0.774,1.359,1.051866,,,,,,
1D1,FAUC,17.77,0.155,1.613,0.250015,,,,,,
1D1,FAUC,17.78,1.704,1.581,2.694024,,,,,,
1D1,FAUC,17.82,0.62,1.382,0.85684,,,,,,
1D1,FAUC,18.91,0.465,0.998,0.46407,,,,,,
1D1,FAUC,18.93,0.31,1.21,0.3751,,,,,,
1D1,FAUC,19.01,1.084,1.531,1.659604,,,,,,
1D1,FAUC,19.86,2.014,1.662,3.347268,,,,,,
1D1,FAUC,19.9,0.465,1.306,0.60729,,,,,,
1D1,FAUC,19.93,2.943,1.637,4.817691,,,,,,
1D1,SHWR,14.44,16.109,1.891,30.462119,65.722194,,,,,
1D2,CWSH,8.9,4,1.03,4.12,,,,,,
1D2,CWSH,9.64,3,1.352,4.056,,,,,,
1D2,CWSH,9.7,0.167,0.922,0.153974,,,,,,
1D2,CWSH,9.72,0.167,1.424,0.237808,,,,,,
1D2,CWSH,9.88,3,1.303,3.909,,,,,,
1D2,CWSH,9.93,0.167,1.047,0.174849,,,,,,
1D2,FAUC,0.85,0.131,0.518,0.067858,,,,,,
1D2,FAUC,0.87,0.131,0.691,0.090521,,,,,,
1D2,FAUC,1.15,0.131,0.576,0.075456,,,,,,
1D2,FAUC,8.83,0.131,0.518,0.067858,,,,,,
1D2,FAUC,9.3,0.131,0.518,0.067858,,,,,,
1D2,FAUC,9.34,0.131,0.518,0.067858,,,,,,
1D2,FAUC,13.4,0.524,1.411,0.739364,,,,,,
1D2,FAUC,13.42,0.131,0.864,0.113184,,,,,,
1D2,FAUC,13.43,0.131,0.691,0.090521,,,,,,
1D2,FAUC,13.51,0.262,1.094,0.286628,,,,,,
1D2,FAUC,13.53,0.524,1.109,0.581116,,,,,,
1D2,FAUC,17.62,0.131,0.518,0.067858,,,,,,
1D2,FAUC,19.24,0.131,0.518,0.067858,,,,,,
1D2,FAUC,19.39,0.131,0.691,0.090521,,,,,,
1D2,FAUC,20.93,0.131,0.518,0.067858,,,,,,
1D2,FAUC,23.1,0.786,0.442,0.347412,,,,,,
1D2,FAUC,23.5,0.262,1.382,0.362084,15.903444,,,,,
1D3,CWSH,14.94,4.833,1.342,6.485886,,,,,,
1D3,CWSH,15.55,3.5,1.413,4.9455,,,,,,
1D3,CWSH,15.71,0.5,1.23,0.615,,,,,,
1D3,CWSH,15.72,0.5,1.203,0.6015,,,,,,
1D3,FAUC,8.15,0.155,0.346,0.05363,,,,,,
1D3,FAUC,8.15,0.62,0.418,0.25916,,,,,,
1D3,FAUC,8.17,0.155,0.288,0.04464,,,,,,
1D3,FAUC,8.17,0.465,0.442,0.20553,,,,,,
1D3,FAUC,8.2,0.155,0.288,0.04464,,,,,,
1D3,FAUC,8.44,0.31,0.691,0.21421,,,,,,
1D3,FAUC,8.47,0.465,0.691,0.321315,,,,,,
1D3,FAUC,8.53,0.155,1.094,0.16957,,,,,,
1D3,FAUC,10.93,0.62,1.598,0.99076,,,,,,
1D3,FAUC,10.94,0.62,1.426,0.88412,,,,,,
1D3,FAUC,11.31,0.155,0.288,0.04464,,,,,,
1D3,FAUC,11.33,0.31,0.288,0.08928,,,,,,
1D3,FAUC,12.98,0.155,0.979,0.151745,,,,,,
1D3,FAUC,12.98,0.31,1.296,0.40176,,,,,,
1D3,FAUC,13,0.155,0.806,0.12493,,,,,,
1D3,FAUC,13.07,0.155,0.288,0.04464,,,,,,
1D3,FAUC,13.09,0.155,0.288,0.04464,,,,,,
1D3,FAUC,13.1,0.155,0.461,0.071455,,,,,,
1D3,FAUC,13.14,0.155,0.288,0.04464,,,,,,
1D3,FAUC,13.18,0.155,0.288,0.04464,,,,,,
1D3,FAUC,13.19,0.31,0.288,0.08928,,,,,,
1D3,FAUC,13.2,0.155,0.288,0.04464,,,,,,
1D3,FAUC,13.25,0.31,0.288,0.08928,,,,,,
1D3,FAUC,14.23,0.62,1.368,0.84816,,,,,,
1D3,FAUC,15.15,0.155,0.346,0.05363,,,,,,
1D3,FAUC,15.17,0.155,0.576,0.08928,,,,,,
1D3,FAUC,15.18,0.155,0.288,0.04464,,,,,,
1D3,FAUC,15.21,0.155,0.288,0.04464,,,,,,
1D3,FAUC,15.24,0.31,0.317,0.09827,,,,,,
1D3,FAUC,15.68,0.155,0.403,0.062465,,,,,,
1D3,FAUC,15.74,0.155,0.922,0.14291,,,,,,
1D3,FAUC,15.79,0.31,0.49,0.1519,,,,,,
1D3,FAUC,15.9,0.155,0.288,0.04464,,,,,,
1D3,FAUC,19.1,0.31,1.296,0.40176,,,,,,
1D3,FAUC,21.51,0.31,0.346,0.10726,,,,,,
1D3,FAUC,21.55,0.155,0.288,0.04464,,,,,,
1D3,FAUC,21.57,0.155,0.403,0.062465,,,,,,
1D3,FAUC,21.59,0.155,0.518,0.08029,,,,,,
1D3,FAUC,21.66,0.155,0.288,0.04464,,,,,,
1D3,FAUC,21.67,0.155,0.288,0.04464,19.487261,,,,,
1D4,FAUC,5.87,1.239,1.44,1.78416,,,,,,
1D4,FAUC,6.17,0.31,0.173,0.05363,,,,,,
1D4,FAUC,6.18,0.155,0.346,0.05363,,,,,,
1D4,FAUC,7.16,0.31,1.181,0.36611,,,,,,
1D4,FAUC,7.19,0.62,1.368,0.84816,,,,,,
1D4,FAUC,7.28,0.155,0.403,0.062465,,,,,,
1D4,FAUC,7.61,3.717,1.104,4.103568,,,,,,
1D4,FAUC,8.38,0.465,1.056,0.49104,,,,,,
1D4,FAUC,8.4,0.929,1.68,1.56072,,,,,,
1D4,FAUC,8.52,0.155,0.346,0.05363,,,,,,
1D4,FAUC,8.59,0.155,1.152,0.17856,,,,,,
1D4,FAUC,17.56,0.465,0.634,0.29481,,,,,,
1D4,FAUC,18.08,0.465,1.709,0.794685,,,,,,
1D4,SHWR,6.94,3.098,1.644,5.093112,15.73828,,,,,
1D5,CWSH,7.15,3.333,1.803,6.009399,,,,,,
1D5,CWSH,7.58,0.333,0.928,0.309024,,,,,,
1D5,CWSH,7.65,3,2.11,6.33,,,,,,
1D5,CWSH,10.21,3,2.076,6.228,,,,,,
1D5,CWSH,10.64,0.5,0.986,0.493,,,,,,
1D5,CWSH,10.71,3,1.976,5.928,,,,,,
1D5,FAUC,6.5,0.131,0.288,0.037728,,,,,,
1D5,FAUC,6.67,1.441,0.869,1.252229,,,,,,
1D5,FAUC,6.71,0.131,0.461,0.060391,,,,,,
1D5,FAUC,7.82,0.262,0.346,0.090652,,,,,,
1D5,FAUC,10.87,0.131,0.288,0.037728,,,,,,
1D5,FAUC,10.87,1.834,0.819,1.502046,,,,,,
1D5,FAUC,10.94,0.393,1.056,0.415008,,,,,,
1D5,FAUC,10.95,0.131,0.288,0.037728,,,,,,
1D5,FAUC,10.97,0.262,0.576,0.150912,,,,,,
1D5,FAUC,10.98,0.917,0.79,0.72443,,,,,,
1D5,FAUC,13.5,0.131,0.634,0.083054,,,,,,
1D5,FAUC,14.01,1.441,0.932,1.343012,,,,,,
1D5,FAUC,14.07,0.655,1.129,0.739495,,,,,,
1D5,FAUC,14.09,0.524,1.598,0.837352,,,,,,
1D5,FAUC,16.14,1.179,0.979,1.154241,,,,,,
1D5,FAUC,18.47,0.262,0.806,0.211172,,,,,,
1D5,FAUC,18.89,0.131,0.864,0.113184,,,,,,
1D5,FAUC,18.92,0.262,0.634,0.166108,,,,,,
1D5,FAUC,19.16,0.131,0.691,0.090521,,,,,,
1D5,FAUC,20.54,0.393,0.845,0.332085,,,,,,
1D5,FAUC,20.56,2.096,0.846,1.773216,,,,,,
1D5,FAUC,20.6,1.048,1.195,1.25236,,,,,,
1D5,FAUC,20.63,0.262,0.547,0.143314,,,,,,
1D5,FAUC,20.65,0.393,1.094,0.429942,,,,,,
1D5,FAUC,20.66,0.524,1.051,0.550724,,,,,,
1D5,FAUC,20.76,0.786,1.094,0.859884,,,,,,
1D5,FAUC,21.01,1.441,0.885,1.275285,,,,,,
1D5,FAUC,23.13,2.751,1.075,2.957325,,,,,,
1D5,FAUC,23.22,0.131,0.518,0.067858,,,,,,
1D5,FAUC,23.59,0.131,1.21,0.15851,44.144917,,,,,
1D6,FAUC,2.52,0.31,0.979,0.30349,,,,,,
1D6,FAUC,2.53,0.155,1.037,0.160735,,,,,,
1D6,FAUC,2.56,1.394,0.928,1.293632,,,,,,
1D6,FAUC,7.78,0.62,1.051,0.65162,,,,,,
1D6,FAUC,7.93,0.31,0.547,0.16957,,,,,,
1D6,FAUC,8.01,0.31,0.835,0.25885,,,,,,
1D6,FAUC,8.12,0.31,0.691,0.21421,,,,,,
1D6,FAUC,8.14,1.859,0.816,1.516944,,,,,,
1D6,FAUC,8.18,1.239,0.965,1.195635,,,,,,
1D6,FAUC,8.26,0.31,0.893,0.27683,,,,,,
1D6,FAUC,8.59,2.014,0.913,1.838782,,,,,,
1D6,FAUC,8.63,0.31,0.518,0.16058,,,,,,
1D6,FAUC,8.86,0.31,0.806,0.24986,,,,,,
1D6,FAUC,9.34,1.394,1.05,1.4637,,,,,,
1D6,FAUC,10.7,0.465,0.787,0.365955,,,,,,
1D6,FAUC,10.72,1.239,0.806,0.998634,,,,,,
1D6,SHWR,9.39,11.772,1.492,17.563824,28.682851,,,,,
1D7,CWSH,9.63,2.333,2.575,6.007475,,,,,,
1D7,CWSH,9.93,0.667,1.242,0.828414,,,,,,
1D7,CWSH,10,3.5,1.661,5.8135,,,,,,
1D7,FAUC,2.63,0.285,0.979,0.279015,,,,,,
1D7,FAUC,8.04,1.281,1.139,1.459059,,,,,,
1D7,FAUC,9.25,0.285,0.547,0.155895,,,,,,
1D7,FAUC,9.27,0.285,0.634,0.18069,,,,,,
1D7,FAUC,9.6,0.142,0.691,0.098122,,,,,,
1D7,FAUC,10.43,0.569,1.31,0.74539,,,,,,
1D7,FAUC,10.86,0.712,0.991,0.705592,,,,,,
1D7,FAUC,12.66,0.285,0.432,0.12312,,,,,,
1D7,FAUC,12.72,0.142,0.864,0.122688,,,,,,
1D7,FAUC,12.89,0.427,0.538,0.229726,,,,,,
1D7,FAUC,12.99,0.569,1.685,0.958765,,,,,,
1D7,FAUC,13.17,0.427,0.998,0.426146,,,,,,
1D7,FAUC,14.88,1.708,1.325,2.2631,,,,,,
1D7,FAUC,14.91,0.427,1.766,0.754082,,,,,,
1D7,FAUC,15.11,0.427,1.229,0.524783,,,,,,
1D7,FAUC,15.24,0.427,0.998,0.426146,,,,,,
1D7,FAUC,15.47,0.427,0.998,0.426146,,,,,,
1D7,FAUC,15.51,0.142,0.518,0.073556,,,,,,
1D7,FAUC,18,0.997,1.539,1.534383,,,,,,
1D7,FAUC,18.38,4.271,1.467,6.265557,,,,,,
1D7,FAUC,22.28,0.712,1.302,0.927024,,,,,,
1D7,FAUC,22.42,0.427,1.421,0.606767,,,,,,
1D7,SHWR,9.05,6.264,2,12.528,44.463141,,,,,
1D8,FAUC,7.34,0.167,0.922,0.153974,,,,,,
1D8,FAUC,7.35,0.167,0.346,0.057782,,,,,,
1D8,FAUC,7.42,2.333,1.09,2.54297,,,,,,
1D8,FAUC,8,1.167,0.749,0.874083,,,,,,
1D8,FAUC,8.03,0.833,0.53,0.44149,,,,,,
1D8,FAUC,8.19,0.167,0.346,0.057782,,,,,,
1D8,FAUC,15.19,1,0.778,0.778,,,,,,
1D8,FAUC,15.21,3.333,2.569,8.562477,,,,,,
1D8,FAUC,15.27,1.667,2.218,3.697406,,,,,,
1D8,FAUC,15.3,2.5,2.93,7.325,,,,,,
1D8,FAUC,15.46,0.167,0.922,0.153974,,,,,,
1D8,FAUC,16.06,0.667,1.454,0.969818,,,,,,
1D8,FAUC,17.38,0.167,0.634,0.105878,,,,,,
1D8,FAUC,17.74,0.167,1.267,0.211589,,,,,,
1D8,FAUC,17.76,0.167,0.461,0.076987,,,,,,
1D8,FAUC,20.61,0.833,0.714,0.594762,,,,,,
1D8,SHWR,7.75,12.5,1.787,22.3375,48.941472,,,,,
1D9,DWSH,1.3,1.667,1.145,1.908715,,,,,,
1D9,DWSH,1.87,1.5,1.014,1.521,,,,,,
1D9,DWSH,2.1,1.333,1.179,1.571607,,,,,,
1D9,FAUC,2.09,0.131,0.403,0.052793,,,,,,
1D9,FAUC,6.75,0.131,0.288,0.037728,,,,,,
1D9,FAUC,6.76,0.393,1.44,0.56592,,,,,,
1D9,FAUC,6.77,0.524,1.426,0.747224,,,,,,
1D9,FAUC,7.02,0.786,1.018,0.800148,,,,,,
1D9,FAUC,7.22,0.262,1.987,0.520594,,,,,,
1D9,FAUC,7.23,0.655,1.452,0.95106,,,,,,
1D9,FAUC,7.51,0.393,1.037,0.407541,,,,,,
1D9,FAUC,9.37,0.917,1.16,1.06372,,,,,,
1D9,FAUC,9.38,0.131,2.304,0.301824,,,,,,
1D9,FAUC,9.8,0.262,1.094,0.286628,,,,,,
1D9,FAUC,9.82,0.524,1.44,0.75456,,,,,,
1D9,FAUC,10.19,0.131,0.288,0.037728,,,,,,
1D9,FAUC,10.78,0.131,0.922,0.120782,,,,,,
1D9,FAUC,10.81,0.131,0.576,0.075456,,,,,,
1D9,FAUC,11.27,0.655,1.279,0.837745,,,,,,
1D9,FAUC,12.5,0.131,0.806,0.105586,,,,,,
1D9,FAUC,12.68,0.655,1.152,0.75456,,,,,,
1D9,FAUC,12.73,0.131,0.288,0.037728,,,,,,
1D9,FAUC,12.75,0.262,0.605,0.15851,,,,,,
1D9,FAUC,12.99,0.131,1.325,0.173575,,,,,,
1D9,FAUC,13.25,0.786,1.037,0.815082,,,,,,
1D9,FAUC,13.26,0.393,1.133,0.445269,,,,,,
1D9,FAUC,14.26,1.441,1.602,2.308482,,,,,,
1D9,FAUC,14.3,0.393,0.672,0.264096,,,,,,
1D9,FAUC,14.46,0.131,0.403,0.052793,,,,,,
1D9,FAUC,14.5,0.131,0.288,0.037728,,,,,,
1D9,FAUC,14.75,0.131,1.094,0.143314,,,,,,
1D9,FAUC,14.77,0.786,1.613,1.267818,,,,,,
1D9,FAUC,14.8,0.131,0.288,0.037728,,,,,,
1D9,FAUC,14.8,0.131,0.288,0.037728,,,,,,
1D9,FAUC,15.07,0.131,2.131,0.279161,,,,,,
1D9,FAUC,16.47,0.262,0.893,0.233966,,,,,,
1D9,FAUC,17.29,0.131,0.518,0.067858,,,,,,
1D9,FAUC,17.39,0.262,0.835,0.21877,,,,,,
1D9,FAUC,17.43,0.131,0.806,0.105586,,,,,,
1D9,FAUC,17.44,0.131,0.922,0.120782,,,,,,
1D9,FAUC,17.44,0.393,1.229,0.482997,,,,,,
1D9,FAUC,17.61,0.262,0.49,0.12838,,,,,,
1D9,FAUC,17.99,0.524,1.123,0.588452,,,,,,
1D9,FAUC,18.04,0.131,0.979,0.128249,,,,,,
1D9,FAUC,18.17,0.131,0.518,0.067858,,,,,,
1D9,FAUC,18.31,0.262,1.037,0.271694,,,,,,
1D9,FAUC,18.32,0.131,0.576,0.075456,,,,,,
1D9,FAUC,18.33,1.834,1.469,2.694146,,,,,,
1D9,FAUC,18.39,0.262,0.893,0.233966,,,,,,
1D9,FAUC,18.4,0.524,1.397,0.732028,,,,,,
1D9,FAUC,18.59,0.131,0.518,0.067858,,,,,,
1D9,FAUC,18.6,0.131,0.288,0.037728,,,,,,
1D9,FAUC,18.89,0.262,1.094,0.286628,,,,,,
1D9,FAUC,20.29,0.524,1.397,0.732028,,,,,,
1D9,FAUC,20.3,0.524,1.253,0.656572,,,,,,
1D9,FAUC,21.29,0.131,0.518,0.067858,,,,,,
1D9,FAUC,21.87,0.655,1.198,0.78469,,,,,,
1D9,FAUC,21.89,0.131,0.403,0.052793,,,,,,
1D9,FAUC,21.9,0.262,0.691,0.181042,,,,,,
1D9,FAUC,21.97,0.131,0.288,0.037728,,,,,,
1D9,FAUC,22.3,0.393,0.941,0.369813,,,,,,
1D9,FAUC,22.32,0.131,0.288,0.037728,,,,,,
1D9,SHWR,22.09,8.909,2,17.818,46.762585,,,,,
1.00E+00,FAUC,18.52,0.465,0.73,0.33945,,,,,,
1.00E+01,DWSH,10.48,1.667,1.034,1.723678,,,,,,
1.00E+01,DWSH,11.06,1.667,0.994,1.656998,,,,,,
1.00E+01,DWSH,11.29,1.5,1.08,1.62,,,,,,
1.00E+01,FAUC,9.28,5.895,1.17,6.89715,,,,,,
1.00E+01,FAUC,9.43,0.393,0.902,0.354486,,,,,,
1.00E+01,FAUC,9.58,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,9.67,1.703,1.48,2.52044,,,,,,
1.00E+01,FAUC,9.78,0.524,1.181,0.618844,,,,,,
1.00E+01,FAUC,10.09,0.262,0.691,0.181042,,,,,,
1.00E+01,FAUC,10.35,0.524,1.426,0.747224,,,,,,
1.00E+01,FAUC,10.55,0.262,1.382,0.362084,,,,,,
1.00E+01,FAUC,10.84,0.393,0.902,0.354486,,,,,,
1.00E+01,FAUC,13.16,0.131,1.786,0.233966,,,,,,
1.00E+01,FAUC,13.37,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,13.37,3.93,1.388,5.45484,,,,,,
1.00E+01,FAUC,13.47,0.786,0.864,0.679104,,,,,,
1.00E+01,FAUC,13.49,1.834,1.148,2.105432,,,,,,
1.00E+01,FAUC,13.99,0.917,1.144,1.049048,,,,,,
1.00E+01,FAUC,14,0.131,1.267,0.165977,,,,,,
1.00E+01,FAUC,15,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,15.54,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,15.55,0.262,0.547,0.143314,,,,,,
1.00E+01,FAUC,16.32,0.393,0.941,0.369813,,,,,,
1.00E+01,FAUC,16.37,0.131,1.382,0.181042,,,,,,
1.00E+01,FAUC,16.41,0.393,0.96,0.37728,,,,,,
1.00E+01,FAUC,17.4,0.262,0.95,0.2489,,,,,,
1.00E+01,FAUC,18.42,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,18.45,0.131,0.288,0.037728,,,,,,
1.00E+01,FAUC,18.48,0.131,1.267,0.165977,,,,,,
1.00E+01,FAUC,18.56,0.131,0.691,0.090521,,,,,,
1.00E+01,FAUC,18.57,0.262,0.346,0.090652,,,,,,
1.00E+01,FAUC,19.05,0.524,1.152,0.603648,,,,,,
1.00E+01,FAUC,19.09,0.262,1.411,0.369682,,,,,,
1.00E+01,FAUC,20.57,0.131,0.576,0.075456,,,,,,
1.00E+01,FAUC,20.58,0.131,0.576,0.075456,,,,,,
1.00E+01,FAUC,21.74,0.131,0.518,0.067858,,,,,,
1.00E+01,FAUC,21.77,0.393,0.998,0.392214,,,,,,
1.00E+01,SHWR,8.79,16.245,2,32.49,,,,,,
1.00E+01,SHWR,21.79,5.502,1.611,8.863722,71.896152,,,,,
1.00E+02,FAUC,5.68,0.131,0.576,0.075456,,,,,,
1.00E+02,FAUC,5.7,0.262,0.979,0.256498,,,,,,
1.00E+02,FAUC,13.2,0.393,0.806,0.316758,,,,,,
1.00E+02,FAUC,14.94,1.31,1.302,1.70562,,,,,,
1.00E+02,FAUC,15.21,0.655,2.915,1.909325,,,,,,
1.00E+02,FAUC,15.33,0.131,0.749,0.098119,,,,,,
1.00E+02,FAUC,16.6,1.441,1.293,1.863213,,,,,,
1.00E+02,FAUC,16.75,0.131,0.864,0.113184,,,,,,
1.00E+02,FAUC,16.75,0.393,1.382,0.543126,,,,,,
1.00E+02,FAUC,18.36,0.917,1.094,1.003198,,,,,,
1.00E+02,FAUC,18.42,0.262,0.922,0.241564,,,,,,
1.00E+02,FAUC,18.69,0.393,1.286,0.505398,,,,,,
1.00E+02,FAUC,18.75,0.393,2.515,0.988395,9.619854,,,,,
1.00E+03,CWSH,9.21,5,1.599,7.995,,,,,,
1.00E+03,CWSH,9.35,1.5,1.368,2.052,,,,,,
1.00E+03,CWSH,9.45,1.833,1.421,2.604693,,,,,,
1.00E+03,DWSH,2.23,1.667,0.922,1.536974,,,,,,
1.00E+03,DWSH,2.4,1.5,0.95,1.425,,,,,,
1.00E+03,DWSH,3.39,0.667,0.768,0.512256,,,,,,
1.00E+03,DWSH,3.42,1.667,0.916,1.526972,,,,,,
1.00E+03,FAUC,0.83,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,0.83,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,0.93,0.131,0.403,0.052793,,,,,,
1.00E+03,FAUC,2.73,0.131,0.691,0.090521,,,,,,
1.00E+03,FAUC,7.3,0.131,0.461,0.060391,,,,,,
1.00E+03,FAUC,8.08,0.131,0.403,0.052793,,,,,,
1.00E+03,FAUC,8.73,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,8.83,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,9.77,0.393,0.941,0.369813,,,,,,
1.00E+03,FAUC,10.1,0.262,0.806,0.211172,,,,,,
1.00E+03,FAUC,10.47,0.131,1.094,0.143314,,,,,,
1.00E+03,FAUC,13.26,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,13.82,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,15.86,0.262,0.979,0.256498,,,,,,
1.00E+03,FAUC,15.87,0.131,1.267,0.165977,,,,,,
1.00E+03,FAUC,15.99,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,18.23,0.524,0.36,0.18864,,,,,,
1.00E+03,FAUC,20.2,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,20.26,0.393,0.595,0.233835,,,,,,
1.00E+03,FAUC,20.28,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,20.29,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,20.31,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,20.36,0.393,0.48,0.18864,,,,,,
1.00E+03,FAUC,20.37,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,20.43,0.524,0.677,0.354748,,,,,,
1.00E+03,FAUC,20.71,0.131,1.44,0.18864,,,,,,
1.00E+03,FAUC,20.74,0.262,0.49,0.12838,,,,,,
1.00E+03,FAUC,20.94,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,22,0.262,0.432,0.113184,,,,,,
1.00E+03,FAUC,23.73,0.131,0.518,0.067858,,,,,,
1.00E+03,FAUC,23.85,0.131,0.518,0.067858,21.696734,,,,,
1.00E+04,FAUC,7.53,0.155,0.288,0.04464,,,,,,
1.00E+04,FAUC,7.96,0.774,1.244,0.962856,,,,,,
1.00E+04,FAUC,7.98,0.155,0.979,0.151745,,,,,,
1.00E+04,FAUC,9.24,0.155,0.576,0.08928,,,,,,
1.00E+04,FAUC,9.47,0.155,0.979,0.151745,,,,,,
1.00E+04,FAUC,9.72,0.155,1.094,0.16957,,,,,,
1.00E+04,FAUC,11.07,0.774,1.682,1.301868,,,,,,
1.00E+04,FAUC,11.1,0.155,0.288,0.04464,,,,,,
1.00E+04,FAUC,11.1,0.155,1.152,0.17856,,,,,,
1.00E+04,FAUC,11.11,0.31,1.094,0.33914,,,,,,
1.00E+04,FAUC,11.12,0.155,0.864,0.13392,,,,,,
1.00E+04,FAUC,11.18,1.859,1.118,2.078362,,,,,,
1.00E+04,FAUC,11.32,0.465,1.267,0.589155,,,,,,
1.00E+04,FAUC,11.33,0.155,1.094,0.16957,,,,,,
1.00E+04,FAUC,11.82,2.478,0.979,2.425962,,,,,,
1.00E+04,FAUC,11.97,1.394,1.318,1.837292,,,,,,
1.00E+04,FAUC,13.25,0.465,1.152,0.53568,,,,,,
1.00E+04,FAUC,14.25,0.31,0.864,0.26784,,,,,,
1.00E+04,FAUC,14.5,0.155,0.288,0.04464,,,,,,
1.00E+04,FAUC,14.5,0.155,1.67,0.25885,,,,,,
1.00E+04,FAUC,14.6,0.155,1.267,0.196385,,,,,,
1.00E+04,FAUC,14.68,0.31,0.778,0.24118,,,,,,
1.00E+04,FAUC,15.47,0.31,0.95,0.2945,,,,,,
1.00E+04,FAUC,15.48,0.155,1.267,0.196385,,,,,,
1.00E+04,FAUC,15.48,0.155,0.403,0.062465,,,,,,
1.00E+04,FAUC,15.5,0.155,0.461,0.071455,,,,,,
1.00E+04,FAUC,15.5,0.155,0.461,0.071455,,,,,,
1.00E+04,FAUC,15.82,0.31,1.066,0.33046,,,,,,
1.00E+04,FAUC,15.83,0.155,0.576,0.08928,,,,,,
1.00E+04,FAUC,16.15,0.31,0.835,0.25885,,,,,,
1.00E+04,FAUC,19.84,0.31,0.576,0.17856,,,,,,
1.00E+04,FAUC,19.95,0.929,1.258,1.168682,,,,,,
1.00E+04,FAUC,20,0.155,0.403,0.062465,,,,,,
1.00E+04,FAUC,20.03,0.155,0.576,0.08928,,,,,,
1.00E+04,FAUC,20.03,0.62,0.85,0.527,,,,,,
1.00E+04,FAUC,20.12,0.465,1.094,0.50871,,,,,,
